FBgn0037244,GO:0051260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0052672,GO:0016236,GO:0005776,GO:0031396,,,,,GO:0010506,,GO:0019901,GO:0006914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0026320,,GO:0007423,GO:0001708,GO:0007219,GO:0005737,GO:0001736,,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0003141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0261266,GO:0048477,,,GO:0031047,,GO:0005739,GO:0034587,,GO:0016891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0031651,GO:0006412,,,GO:0005840,GO:0032543,GO:0019233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0025700,GO:0016021,GO:0006614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0030309,GO:0016020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0024986,GO:0005739,GO:0015036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0034654,,GO:0006446,GO:0005737,,,GO:0006413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0032053,,,GO:0032543,GO:0006412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0010607,GO:0003674,GO:0005575,GO:0008150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0032884,,GO:0000502,GO:0032436,GO:0006508,GO:0043161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0041585,GO:0006508,,,,GO:0016021,,GO:0007399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0261789,GO:0030532,GO:0000398,GO:0005681,GO:0044822,GO:0007067,,,GO:0022008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0032193,GO:0005575,GO:0003674,GO:0019233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBgn0000253,GO:0016028,GO:0005737,GO:0016056,,GO:0006468,,GO:0005515,GO:0016059,,,,,GO:0030048,GO:0032036,,,GO:0000922,,GO:0051383,GO:0005875,GO:0005819,,GO:0007099,,GO:2001020,,,,GO:0042052,,GO:2001259,GO:0007608,GO:0005813,,GO:0005829,GO:0005654,GO:0005886,GO:0072686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
